date,total_budget,agent_estimated_conversions,baseline_estimated_conversions,agent_estimated_cpa,baseline_estimated_cpa,rationale
2026-02-04,911.9,139.84,129.59,6.52,7.04,"Search up 20.0% | conv/$=0.215, CTR=3.06% based on trailing 3-day performance ; Social down 0.1% | conv/$=0.137, CTR=1.93% based on trailing 3-day performance ; Display down 17.0% | conv/$=0.058, CTR=0.97% based on trailing 3-day performance"
2026-02-05,904.61,137.58,120.75,6.58,7.49,"Search up 13.5% | conv/$=0.217, CTR=3.22% based on trailing 3-day performance ; Social down 3.6% | conv/$=0.140, CTR=2.01% based on trailing 3-day performance ; Display down 20.0% | conv/$=0.056, CTR=0.94% based on trailing 3-day performance"
2026-02-06,904.46,167.74,149.12,5.39,6.07,"Search up 8.8% | conv/$=0.225, CTR=3.23% based on trailing 3-day performance ; Social down 11.0% | conv/$=0.128, CTR=1.98% based on trailing 3-day performance ; Display down 2.7% | conv/$=0.058, CTR=0.94% based on trailing 3-day performance"
2026-02-07,884.83,158.95,144.38,5.57,6.13,"Search down 2.2% | conv/$=0.225, CTR=3.25% based on trailing 3-day performance ; Social down 2.2% | conv/$=0.151, CTR=2.05% based on trailing 3-day performance ; Display down 2.2% | conv/$=0.063, CTR=0.97% based on trailing 3-day performance"
2026-02-08,828.58,122.11,109.06,6.79,7.6,"Search down 9.1% | conv/$=0.220, CTR=3.06% based on trailing 3-day performance ; Social down 1.5% | conv/$=0.178, CTR=2.17% based on trailing 3-day performance ; Display down 6.4% | conv/$=0.061, CTR=0.92% based on trailing 3-day performance"
2026-02-09,904.3,143.84,129.9,6.29,6.96,"Search up 7.7% | conv/$=0.207, CTR=3.03% based on trailing 3-day performance ; Social up 11.5% | conv/$=0.194, CTR=2.26% based on trailing 3-day performance ; Display up 9.1% | conv/$=0.058, CTR=0.90% based on trailing 3-day performance"
2026-02-10,967.19,161.29,145.53,6.0,6.65,"Search up 3.4% | conv/$=0.191, CTR=2.96% based on trailing 3-day performance ; Social up 12.5% | conv/$=0.194, CTR=2.40% based on trailing 3-day performance ; Display up 7.0% | conv/$=0.053, CTR=0.86% based on trailing 3-day performance"
2026-02-11,944.94,177.54,156.73,5.32,6.03,"Search down 6.2% | conv/$=0.187, CTR=3.05% based on trailing 3-day performance ; Social up 3.3% | conv/$=0.185, CTR=2.54% based on trailing 3-day performance ; Display down 2.3% | conv/$=0.054, CTR=0.89% based on trailing 3-day performance"
2026-02-12,826.6,146.85,134.02,5.63,6.17,"Search down 13.6% | conv/$=0.212, CTR=3.23% based on trailing 3-day performance ; Social down 11.1% | conv/$=0.190, CTR=2.60% based on trailing 3-day performance ; Display down 12.5% | conv/$=0.056, CTR=0.93% based on trailing 3-day performance"
2026-02-13,892.17,184.73,163.27,4.83,5.46,"Search up 7.9% | conv/$=0.219, CTR=3.35% based on trailing 3-day performance ; Social up 7.9% | conv/$=0.194, CTR=2.52% based on trailing 3-day performance ; Display up 7.9% | conv/$=0.063, CTR=0.96% based on trailing 3-day performance"
2026-02-14,856.8,171.87,152.17,4.99,5.63,"Search down 2.5% | conv/$=0.244, CTR=3.42% based on trailing 3-day performance ; Social down 5.8% | conv/$=0.200, CTR=2.53% based on trailing 3-day performance ; Display down 4.0% | conv/$=0.064, CTR=0.97% based on trailing 3-day performance"
2026-02-15,779.89,162.33,144.21,4.8,5.41,"Search down 11.9% | conv/$=0.236, CTR=3.49% based on trailing 3-day performance ; Social down 5.2% | conv/$=0.229, CTR=2.69% based on trailing 3-day performance ; Display down 9.0% | conv/$=0.058, CTR=0.94% based on trailing 3-day performance"
2026-02-16,881.68,179.18,157.25,4.92,5.61,"Search up 13.1% | conv/$=0.253, CTR=3.60% based on trailing 3-day performance ; Social up 13.1% | conv/$=0.238, CTR=2.85% based on trailing 3-day performance ; Display up 13.1% | conv/$=0.053, CTR=0.92% based on trailing 3-day performance"
2026-02-17,878.9,173.79,153.05,5.06,5.74,"Search down 1.4% | conv/$=0.252, CTR=3.69% based on trailing 3-day performance ; Social up 1.0% | conv/$=0.238, CTR=3.06% based on trailing 3-day performance ; Display down 0.3% | conv/$=0.049, CTR=0.92% based on trailing 3-day performance"
2026-02-18,913.36,180.5,158.88,5.06,5.75,"Search up 3.9% | conv/$=0.265, CTR=3.74% based on trailing 3-day performance ; Social up 3.9% | conv/$=0.219, CTR=2.87% based on trailing 3-day performance ; Display up 3.9% | conv/$=0.052, CTR=0.88% based on trailing 3-day performance"
2026-02-19,902.38,174.59,155.68,5.17,5.8,"Search down 0.1% | conv/$=0.261, CTR=3.79% based on trailing 3-day performance ; Social down 2.5% | conv/$=0.217, CTR=2.97% based on trailing 3-day performance ; Display down 1.2% | conv/$=0.047, CTR=0.86% based on trailing 3-day performance"
2026-02-20,897.78,172.78,152.03,5.2,5.91,"Search up 0.0% | conv/$=0.252, CTR=3.76% based on trailing 3-day performance ; Social down 1.1% | conv/$=0.214, CTR=2.83% based on trailing 3-day performance ; Display down 0.5% | conv/$=0.052, CTR=0.85% based on trailing 3-day performance"
2026-02-21,889.76,175.24,154.64,5.08,5.75,"Search up 0.7% | conv/$=0.257, CTR=3.74% based on trailing 3-day performance ; Social down 2.9% | conv/$=0.201, CTR=2.87% based on trailing 3-day performance ; Display down 0.9% | conv/$=0.056, CTR=0.85% based on trailing 3-day performance"
